Console,Game Title,Save File,Multiplayer,Main Controller,Sec. Controller,Additional Information
Gamecube,Bomberman Generation,None,Four Player,GC Controller,,
Gamecube,Donkey Konga,None,Four Player,GC Controller,DK Bongos,Have two sets of bongos
Gamecube,F-Zero GX,None,Four Player,GC Controller,,
Gamecube,Final Fantasy: Crystal Chronicles,None,Four Player,GC Controller,GBA SP,Have four SPs + cables
Gamecube,Mario Golf: Toadstool Tour,None,Four Player,GC Controller,,
Gamecube,Mario Kart: Double Dash,None,Four Player,GC Controller,,
Gamecube,Mario Party 4,None,Four Player,GC Controller,,
Gamecube,Mario Party 5,None,Four Player,GC Controller,,
Gamecube,Mario Party 6,None,Four Player,GC Controller,,
Gamecube,Mario Power Tennis,None,Four Player,GC Controller,,
Gamecube,Medal of Honor: Frontline,None,Four Player,GC Controller,,
Gamecube,Super Monkey Ball,GC 1,Four Player,GC Controller,,
Gamecube,Super Monkey Ball 2,None,Four Player,GC Controller,,
Gamecube,Super Smash Bros. Melee,None,Four Player,GC Controller,,
Gamecube,Takes of Symphonia,None,Four Player,GC Controller,,
Gamecube,The Legend of Zelda: Four Swords Adventures,None,Four Player,GC Controller,GBA SP,Have four SPs + cables
Gamecube,Timesplitters 2,GC1,Four Player,GC Controller,,
Gamecube,Timesplitters: Future Perfect,GC1,Four Player,GC Controller,,
Gamecube,"Warioware, Inc.: Mega Party Game$!",None,Four Player,GC Controller,,
Gamecube,Baten Kaitos: Eternal Wings and the Lost Ocean,None,No,GC Controller,,
Gamecube,Eternal Darkness: Sanity's Requiem,None,No,GC Controller,,
Gamecube,Harvest Moon: A Wonderful Life,None,No,GC Controller,,
Gamecube,Resident Evil,None,No,GC Controller,,
Gamecube,Super Mario Sunshine,None,No,GC Controller,,
Gamecube,The Legend of Zelda: Collector's Edition,None,No,GC Controller,,
Gamecube,Viewtiful Joe,None,No,GC Controller,,
N64,Micro Machines 64 Turbo,,Eight Player,N64 Controller,,
N64,Banjo Tooie,,Four Player,N64 Controller,,
N64,Bust a Move 3DX,,Four Player,N64 Controller,,
N64,Conker's Bad Fur Day,,Four Player,N64 Controller,,
N64,Diddy Kong Racing,,Four Player,N64 Controller,,
N64,Donkey Kong 64,,Four Player,N64 Controller,,
N64,Excitebike 64,,Four Player,N64 Controller,,
N64,F-Zero X,,Four Player,N64 Controller,,
N64,GoldenEye 007,,Four Player,N64 Controller,,
N64,Jet Force Gemini,,Four Player,N64 Controller,,
N64,Lylat Wars,,Four Player,N64 Controller,,
N64,Mario Kart 64,,Four Player,N64 Controller,,
N64,Mario Party 2,,Four Player,N64 Controller,,
N64,Mario Party 3,,Four Player,N64 Controller,,
N64,Perfect Dark,,Four Player,N64 Controller,,
N64,Pokémon Stadium,,Four Player,N64 Controller,N64 Transfer Pak,Compatible with Pokémon Red/Blue
N64,Ridge Racer 64,,Four Player,N64 Controller,,
N64,Snowboard Kids,,Four Player,N64 Controller,,
N64,Super Smash Bros.,,Four Player,N64 Controller,,
N64,Turok 2: Seeds of Evil,,Four Player,N64 Controller,,
N64,Turok: Rage Wars,,Four Player,N64 Controller,,
N64,World Cup '98,,Four Player,N64 Controller,,
N64,Worms Armageddon,,Four Player,N64 Controller,,
N64,Banjo Kazooie,,No,N64 Controller,,
N64,Blast Corps,,No,N64 Controller,,
N64,Body Harvest,,No,N64 Controller,,
N64,Castlevania 64,,No,N64 Controller,,
N64,Castlevania: Legacy of Darkness,,No,N64 Controller,,
N64,Pokémon Snap,,No,N64 Controller,,
N64,Rocket Robot on Wheels,,No,N64 Controller,,
N64,Space Station Silicon Valley,,No,N64 Controller,,
N64,Super Mario 64,,No,N64 Controller,,
N64,The Legend of Zelda: Majora's Mask,,No,N64 Controller,,
N64,The Legend of Zelda: Ocarina of Time,,No,N64 Controller,,
N64,Turok: Dinosaur Hunter,,No,N64 Controller,,
N64,Yoshi's Story,,No,N64 Controller,,
N64,Carmageddon 64,,Two Player,N64 Controller,,Terrible game
N64,F-1 World Grand Prix,,Two Player,N64 Controller,,
N64,Killer Instinct Gold,,Two Player,N64 Controller,,
N64,Mortal Kombat Trilogy,,Two Player,N64 Controller,,
N64,Star Wars Episode 1: Racer,,Two Player,N64 Controller,,
N64,Wave Race 64,,Two Player,N64 Controller,,
NES,Blaster Master,,No,NES Controller,,
NES,Faxanadu,,No,NES Controller,,
NES,Punchout,,No,NES Controller,,
NES,The Fantastic Adventures of Dizzy,,No,NES Controller,,Codemasters - Plug through game
NES,Battletoads,,Two Player,NES Controller,,
NES,Battletoads and Double Dragon,,Two Player,NES Controller,,
NES,Blades of Steel,,Two Player,NES Controller,,
NES,Dr. Mario,,Two Player,NES Controller,,
NES,Gun Smoke,,Two Player,NES Controller,,
NES,Probotector,,Two Player,NES Controller,,AKA Contra / Gryzor
PS2,Devil May Cry,None,No,PS2 Controller,,
PS2,Devil May Cry 2,None,No,PS2 Controller,,
PS2,Jak 3,None,No,PS2 Controller,,
PS2,Jak and Daxter: The Precursor Legacy,None,No,PS2 Controller,,
PS2,Second Sight,None,No,PS2 Controller,,
PS2,Hyper Street Fighter 2: The Anniversary Edition,None,Two Player,PS2 Controller,,
PS3,Call od Duty: Black Ops 2,None,Four Player,PS3 Controller,,
PS3,God of War: Saga,None,No,PS3 Controller,,
PS3,Metal Gear Solid 4: Guns of the Patriots,None,No,PS3 Controller,,
PS3,The ICO and Shadow of the Colossus Collection,None,No,PS3 Controller,,
PS3,Uncharted 2: Among Thieves,None,No,PS3 Controller,,
PS3,Uncharted 3: Drake's Deception,None,No,PS3 Controller,,
SNES,Aladdin,,No,SNES Controller,,
SNES,B.O.B.,,No,SNES Controller,,
SNES,Jurassic Park,,No,SNES Controller,SNES Mouse,
SNES,Super Ghouls and Ghosts,,No,SNES Controller,,
SNES,The Legend of Zelda: A Link to the Past,,No,SNES Controller,,
SNES,The Legend of Zelda: Parallel Worlds,,No,SNES Controller,,Fan made game
SNES,The Lion King,,No,SNES Controller,,
SNES,Tiny Toon Adventures: Buster Busts Loose!,,No,SNES Controller,,
SNES,Battletoads in Battlemaniacs,,Two Player,SNES Controller,,
SNES,Cannon Fodder,,Two Player,SNES Controller,SNES Mouse,
SNES,Donkey Kong Country,,Two Player,SNES Controller,,
SNES,Street Fighter 2 Turbo,,Two Player,SNES Controller,,
SNES,Super Mario Allstars,,Two Player,SNES Controller,,
SNES,Super Mario Kart,,Two Player,SNES Controller,,
SNES,Super Mario World,,Two Player,SNES Controller,,
SNES,Super Probotector Alien Rebels,,Two Player,SNES Controller,,AKA Contra III: The Alien Wars / Contra Spirits
SNES,The Magical Quest starring Mickey Mouse,,Two Player,SNES Controller,,Dead Cartridge :'(
Wii,Conduit 2,None,Four Player,Wii Remote + NC,Classic Controller,
Wii,Mario Kart Wii,None,Four Player,Wii Remote + NC,GC Controller,
Wii,Mario Party 9,None,Four Player,Wii Remote,,
Wii,Mario Strikers: Charged Football,None,Four Player,Wii Remote + NC,,
Wii,Raving Rabbids: Party Collection,None,Four Player,Wii Remote + NC,,
Wii,Raving Rabbids: Travel in Time,None,Four Player,Wii Remote + NC,,
Wii,Sonic and the Secret Rings,None,Four Player,Wii Remote,,
Wii,Super Mario Bros. Wii,None,Four Player,Wii Remote + NC,,
Wii,Super Smash Bros. Brawl,None,Four Player,Wii Remote + NC,GC Controller,
Wii,WarioWare: Smooth Moves,None,Four Player,Wii Remote + NC,,
Wii,Wii Sports,None,Four Player,Wii Remote + NC,,
Wii,Batallion Wars 2,None,No,Wii Remote + NC,,
Wii,Epic Mickey,None,No,Wii Remote + NC,,
Wii,Fire Emblem: Radiant Dawn,None,No,Wii Remote,GC Controller,
Wii,Little King's Story,None,No,Wii Remote + NC,,
Wii,Medal of Honor: Heroes 2,None,No,Wii Remote + NC,,
Wii,Metroid Prime 3: Corruption,None,No,Wii Remote + NC,,
Wii,Metroid Prime Trilogy,None,No,Wii Remote + NC,,
Wii,Okami,None,No,Wii Remote + NC,,
Wii,Pandora's Tower,None,No,Wii Remote + NC,Classic Controller,
Wii,Pikmin,None,No,Wii Remote + NC,,New Play Control
Wii,Red Steel 2,None,No,Wii Remote + NC,,
Wii,Resident Evil 4,None,No,Wii Remote + NC,,
Wii,Super Paper Mario,None,No,Wii Remote,,
Wii,The Last Story,None,No,Wii Remote + NC,Classic Controller,
Wii,The Legend of Zelda: Skyward Sword,None,No,Wii Remote + NC,,
Wii,The Legend of Zelda: Twilight Princess,None,No,Wii Remote + NC,,
Wii,Tomb Raider: Anniversary,None,No,Wii Remote + NC,,
